network,network_bandwidth_mbps_upload,network_bandwidth_mbps_download,network_base_latency_ms,image_config,image_resolution,image_size_bytes,image_size_mb,effective_size_bytes,transfer_time_ms,total_latency_ms,max_frequency_sync_hz,max_frequency_async_hz
DC 25GbE,25000.0,25000.0,0.05,512x512 uint8 (comp 0.1x),512,78643,0.07499980926513672,82575.15000000001,0.026424048000000002,0.07642404800000001,13084.88657915634,37844.31514808026
DC 25GbE,25000.0,25000.0,0.05,1024x1024 uint8 (comp 0.1x),1024,314572,0.2999992370605469,330300.60000000003,0.10569619200000001,0.155696192,6422.764662092699,9461.078787020066
DC 100GbE,100000.0,100000.0,0.03,224x224 uint8,224,150528,0.1435546875,158054.4,0.012644352,0.042644351999999996,23449.76422669056,79086.69420149013
DC 100GbE,100000.0,100000.0,0.03,384x384 uint8,384,442368,0.421875,464486.4,0.037158912,0.067158912,14890.056586979848,26911.44455467372
DC 100GbE,100000.0,100000.0,0.03,512x512 uint8,512,786432,0.75,825753.6000000001,0.06606028800000001,0.09606028800000001,10410.129105588356,15137.687562003966
DC 100GbE,100000.0,100000.0,0.03,1024x1024 uint8,1024,3145728,3.0,3303014.4000000004,0.26424115200000003,0.294241152,3398.5728821507605,3784.4218905009916
DC 100GbE,100000.0,100000.0,0.03,224x224 uint8 (comp 0.1x),224,15052,0.014354705810546875,15804.6,0.001264368,0.031264368,31985.29392949827,790908.9758677853
DC 100GbE,100000.0,100000.0,0.03,384x384 uint8 (comp 0.1x),384,44236,0.042186737060546875,46447.8,0.0037158240000000004,0.033715824,29659.663664159598,269119.312432451
DC 100GbE,100000.0,100000.0,0.03,512x512 uint8 (comp 0.1x),512,78643,0.07499980926513672,82575.15000000001,0.0066060120000000005,0.036606012,27317.91706783028,151377.26059232105
DC 100GbE,100000.0,100000.0,0.03,1024x1024 uint8 (comp 0.1x),1024,314572,0.2999992370605469,330300.60000000003,0.026424048000000002,0.056424048000000004,17722.939694082208,37844.31514808026
DC 400GbE,400000.0,400000.0,0.02,224x224 uint8,224,150528,0.1435546875,158054.4,0.003161088,0.023161088,43175.864622594585,316346.7768059605
DC 400GbE,400000.0,400000.0,0.02,384x384 uint8,384,442368,0.421875,464486.4,0.009289728,0.029289728,34141.66222369835,107645.77821869488
DC 400GbE,400000.0,400000.0,0.02,512x512 uint8,512,786432,0.75,825753.6000000001,0.016515072000000002,0.036515072,27385.95175164929,60550.750248015866
DC 400GbE,400000.0,400000.0,0.02,1024x1024 uint8,1024,3145728,3.0,3303014.4000000004,0.06606028800000001,0.08606028800000001,11619.76125387821,15137.687562003966
DC 400GbE,400000.0,400000.0,0.02,224x224 uint8 (comp 0.1x),224,15052,0.014354705810546875,15804.6,0.000316092,0.020316092,49222.064952255576,3163635.903471141
DC 400GbE,400000.0,400000.0,0.02,384x384 uint8 (comp 0.1x),384,44236,0.042186737060546875,46447.8,0.0009289560000000001,0.020928956000000002,47780.691975271,1076477.249729804
DC 400GbE,400000.0,400000.0,0.02,512x512 uint8 (comp 0.1x),512,78643,0.07499980926513672,82575.15000000001,0.0016515030000000001,0.021651503,46186.170077892515,605509.0423692842
DC 400GbE,400000.0,400000.0,0.02,1024x1024 uint8 (comp 0.1x),1024,314572,0.2999992370605469,330300.60000000003,0.0066060120000000005,0.026606012000000002,37585.490076453396,151377.26059232105
